onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0	0.002	1	Scanner	Scan Start
2	0.002	1001	Scanner	Scan Start
4	0.002	2001	Scanner	Scan Start
6	0.002	3001	Scanner	Scan Start
7.094	0.002	3548	Stimulus	S 10
7.968	0.002	3985	Response	Hit
8	0.002	4001	Scanner	Scan Start
8.168	0.002	4085	Stimulus	S130
10	0.002	5001	Scanner	Scan Start
12	0.002	6001	Scanner	Scan Start
14	0.002	7001	Scanner	Scan Start
15.038	0.002	7520	Stimulus	S 40
15.606	0.002	7804	Response	CR
15.806	0.002	7904	Stimulus	S140
16	0.002	8001	Scanner	Scan Start
18	0.002	9001	Scanner	Scan Start
20	0.002	10001	Scanner	Scan Start
22	0.002	11001	Scanner	Scan Start
23.056	0.002	11529	Stimulus	S 30
23.7	0.002	11851	Response	CR
23.902	0.002	11952	Stimulus	S130
24	0.002	12001	Scanner	Scan Start
26	0.002	13001	Scanner	Scan Start
28	0.002	14001	Scanner	Scan Start
30	0.002	15001	Scanner	Scan Start
32	0.002	16001	Scanner	Scan Start
33.018	0.002	16510	Stimulus	S 40
33.806	0.002	16904	Response	CR
34	0.002	17001	Scanner	Scan Start
34.008	0.002	17005	Stimulus	S110
36	0.002	18001	Scanner	Scan Start
38	0.002	19001	Scanner	Scan Start
40	0.002	20001	Scanner	Scan Start
42	0.002	21001	Scanner	Scan Start
43.076	0.002	21539	Stimulus	S 10
43.714	0.002	21858	Response	MISS
43.914	0.002	21958	Stimulus	S160
44	0.002	22001	Scanner	Scan Start
46	0.002	23001	Scanner	Scan Start
48	0.002	24001	Scanner	Scan Start
50	0.002	25001	Scanner	Scan Start
52	0.002	26001	Scanner	Scan Start
53.038	0.002	26520	Stimulus	S 20
53.788	0.002	26895	Response	CR
53.988	0.002	26995	Stimulus	S120
54	0.002	27001	Scanner	Scan Start
56	0.002	28001	Scanner	Scan Start
58	0.002	29001	Scanner	Scan Start
60	0.002	30001	Scanner	Scan Start
62	0.002	31001	Scanner	Scan Start
63.096	0.002	31549	Stimulus	S 30
63.824	0.002	31913	Response	CR
