onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0	0.002	1	Scanner	Scan Start
2	0.002	1001	Scanner	Scan Start
4	0.002	2001	Scanner	Scan Start
6	0.002	3001	Scanner	Scan Start
7.038	0.002	3520	Stimulus	S 20
7.902	0.002	3952	Response	FA
8	0.002	4001	Scanner	Scan Start
8.104	0.002	4053	Stimulus	S160
10	0.002	5001	Scanner	Scan Start
12	0.002	6001	Scanner	Scan Start
14	0.002	7001	Scanner	Scan Start
15.038	0.002	7520	Stimulus	S 30
16	0.002	8001	Scanner	Scan Start
16.334	0.002	8168	Response	FA
16.536	0.002	8269	Stimulus	S170
18	0.002	9001	Scanner	Scan Start
20	0.002	10001	Scanner	Scan Start
22	0.002	11001	Scanner	Scan Start
23.02	0.002	11511	Stimulus	S 10
24	0.002	12001	Scanner	Scan Start
24.35	0.002	12176	Response	Hit
24.552	0.002	12277	Stimulus	S130
26	0.002	13001	Scanner	Scan Start
28	0.002	14001	Scanner	Scan Start
30	0.002	15001	Scanner	Scan Start
31.076	0.002	15539	Stimulus	S 20
31.752	0.002	15877	Response	CR
31.952	0.002	15977	Stimulus	S140
32	0.002	16001	Scanner	Scan Start
34	0.002	17001	Scanner	Scan Start
36	0.002	18001	Scanner	Scan Start
38	0.002	19001	Scanner	Scan Start
39.076	0.002	19539	Stimulus	S 20
40	0.002	20001	Scanner	Scan Start
40.83	0.002	20416	Response	FA
41.032	0.002	20517	Stimulus	S150
42	0.002	21001	Scanner	Scan Start
44	0.002	22001	Scanner	Scan Start
46	0.002	23001	Scanner	Scan Start
48	0.002	24001	Scanner	Scan Start
49.058	0.002	24530	Stimulus	S 40
50	0.002	25001	Scanner	Scan Start
50.398	0.002	25200	Response	CR
50.598	0.002	25300	Stimulus	S130
52	0.002	26001	Scanner	Scan Start
54	0.002	27001	Scanner	Scan Start
56	0.002	28001	Scanner	Scan Start
58	0.002	29001	Scanner	Scan Start
59.076	0.002	29539	Stimulus	S 30
60	0.002	30001	Scanner	Scan Start
60.498	0.002	30250	Response	FA
60.7	0.002	30351	Stimulus	S180
62	0.002	31001	Scanner	Scan Start
64	0.002	32001	Scanner	Scan Start
66	0.002	33001	Scanner	Scan Start
67.096	0.002	33549	Stimulus	S 40
68	0.002	34001	Scanner	Scan Start
68.278	0.002	34140	Response	CR
69.978	0.002	34990	Stimulus	S111
70	0.002	35001	Scanner	Scan Start
72	0.002	36001	Scanner	Scan Start
74	0.002	37001	Scanner	Scan Start
76	0.002	38001	Scanner	Scan Start
77.096	0.002	38549	Stimulus	S 30
78	0.002	39001	Scanner	Scan Start
79.118	0.002	39560	Stimulus	S190
80	0.002	40001	Scanner	Scan Start
82	0.002	41001	Scanner	Scan Start
84	0.002	42001	Scanner	Scan Start
86	0.002	43001	Scanner	Scan Start
87.02	0.002	43511	Stimulus	S 10
